index,author,date,post,sentiment
0,OnnMacMahal,Aug 30 2022,stance,neutral
0,OnnMacMahal,Aug 30 2022,bit,neutral
0,OnnMacMahal,Aug 30 2022,healing,neutral
0,OnnMacMahal,Aug 30 2022,damage,neutral
0,OnnMacMahal,Aug 30 2022,doesnt,neutral
0,OnnMacMahal,Aug 30 2022,excel,neutral
0,OnnMacMahal,Aug 30 2022,either,neutral
0,OnnMacMahal,Aug 30 2022,made,neutral
0,OnnMacMahal,Aug 30 2022,changes,neutral
0,OnnMacMahal,Aug 30 2022,make,neutral
0,OnnMacMahal,Aug 30 2022,Melody,neutral
0,OnnMacMahal,Aug 30 2022,better,neutral
0,OnnMacMahal,Aug 30 2022,applying,neutral
0,OnnMacMahal,Aug 30 2022,debuffs,neutral
0,OnnMacMahal,Aug 30 2022,buffs,neutral
0,OnnMacMahal,Aug 30 2022,unique,neutral
0,OnnMacMahal,Aug 30 2022,effects.Debuffs,neutral
0,OnnMacMahal,Aug 30 2022,applied,neutral
0,OnnMacMahal,Aug 30 2022,Echoes,neutral
0,OnnMacMahal,Aug 30 2022,Battle,neutral
0,OnnMacMahal,Aug 30 2022,Call,neutral
0,OnnMacMahal,Aug 30 2022,Orome,neutral
0,OnnMacMahal,Aug 30 2022,stronger,neutral
0,OnnMacMahal,Aug 30 2022,Melody,neutral
0,OnnMacMahal,Aug 30 2022,Similarly,neutral
0,OnnMacMahal,Aug 30 2022,Piercing,neutral
0,OnnMacMahal,Aug 30 2022,Cry,neutral
0,OnnMacMahal,Aug 30 2022,removes,neutral
0,OnnMacMahal,Aug 30 2022,corruptions,neutral
0,OnnMacMahal,Aug 30 2022,stuns,neutral
0,OnnMacMahal,Aug 30 2022,critical,neutral
0,OnnMacMahal,Aug 30 2022,hits,neutral
0,OnnMacMahal,Aug 30 2022,used,neutral
0,OnnMacMahal,Aug 30 2022,Melody,neutral
0,OnnMacMahal,Aug 30 2022,Additionally,neutral
0,OnnMacMahal,Aug 30 2022,Call,neutral
0,OnnMacMahal,Aug 30 2022,Fate,neutral
0,OnnMacMahal,Aug 30 2022,used,neutral
0,OnnMacMahal,Aug 30 2022,Melody,neutral
0,OnnMacMahal,Aug 30 2022,though,neutral
0,OnnMacMahal,Aug 30 2022,less,neutral
0,OnnMacMahal,Aug 30 2022,damage,neutral
0,OnnMacMahal,Aug 30 2022,Dissonance.Minstrels,neutral
0,OnnMacMahal,Aug 30 2022,three,neutral
0,OnnMacMahal,Aug 30 2022,core,neutral
0,OnnMacMahal,Aug 30 2022,skills,neutral
0,OnnMacMahal,Aug 30 2022,change,neutral
0,OnnMacMahal,Aug 30 2022,depending,neutral
0,OnnMacMahal,Aug 30 2022,stance,neutral
0,OnnMacMahal,Aug 30 2022,strike,neutral
0,OnnMacMahal,Aug 30 2022,piercing,neutral
0,OnnMacMahal,Aug 30 2022,cry,neutral
0,OnnMacMahal,Aug 30 2022,coda,neutral
0,OnnMacMahal,Aug 30 2022,Strike,neutral
0,OnnMacMahal,Aug 30 2022,skills,neutral
0,OnnMacMahal,Aug 30 2022,rebalanced,neutral
0,OnnMacMahal,Aug 30 2022,slightly,neutral
0,OnnMacMahal,Aug 30 2022,one,neutral
